,Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
278,heihe,0,RU,1536892200,52,50.24,127.51,66.2,6.71
279,benoni,0,ZA,1536894724,31,-26.19,28.31,35.65,5.39
280,saskylakh,0,RU,1536894724,77,71.97,114.09,43.75,6.17
281,saint-pierre,90,FR,1536894000,87,48.95,4.24,58.19,4.7
282,lata,8,IN,1536894726,97,30.78,78.62,57.79,0.25
283,mongo,8,CF,1536894726,98,4.83,22.92,67.69,2.04
284,derzhavinsk,0,KZ,1536894726,50,51.1,66.31,53.65,18.48
285,grootfontein,0,NA,1536894726,59,-19.56,18.1,47.98,1.59
286,bontang,8,ID,1536894727,79,0.12,117.47,86.68,11.32
287,nikolskoye,0,RU,1536892200,93,59.7,30.79,48.2,6.71
288,arlit,0,NE,1536894727,22,18.74,7.39,73.36,4.38
289,banda aceh,12,ID,1536894728,73,5.56,95.32,84.61,3.49
290,cam ranh,64,VN,1536894728,96,11.92,109.15,81.01,1.7
291,khuzhir,0,RU,1536894728,92,53.19,107.35,45.01,7.4
292,san cristobal,75,EC,1536890400,81,-0.39,-78.55,51.8,4.7
293,kargala,88,RU,1536894729,70,56.62,83.96,54.46,14.56
294,nome,1,US,1536893700,88,30.04,-94.42,77.65,5.82
295,suba,92,CN,1536894730,100,28.73,103.51,64.45,2.71
296,hami,0,CN,1536894730,84,42.84,93.51,53.38,6.17
297,alyangula,8,AU,1536894730,80,-13.85,136.42,82.81,10.76
298,ixtlan del rio,90,MX,1536889320,94,21.03,-104.37,68.0,0.92
299,visselhovede,0,DE,1536893400,100,52.98,9.6,44.01,2.24
300,palmer,0,AU,1536892200,25,-34.85,139.16,73.4,20.8
301,coquimbo,90,CL,1536890400,81,-29.95,-71.34,53.6,4.7
302,luhyny,20,UA,1536894732,87,51.08,28.4,54.64,2.82
303,bud,92,NO,1536893400,76,62.91,6.91,50.0,8.05
304,havre-saint-pierre,20,CA,1536890400,82,50.23,-63.6,60.8,8.05
305,carballo,48,ES,1536894000,93,43.21,-8.69,60.75,5.82
306,lewisporte,90,CA,1536890400,100,49.25,-55.06,53.6,8.05
307,iquique,90,CL,1536890400,67,-20.22,-70.14,62.6,10.29
308,banjar,36,ID,1536894733,66,-7.37,108.54,77.14,4.5
309,mayumba,92,GA,1536894734,100,-3.44,10.65,72.91,6.17
310,jiazi,75,CN,1536890400,88,19.61,110.49,80.6,15.66
311,mahon,75,IE,1536894000,93,51.89,-8.4,51.8,10.29
312,ambilobe,0,MG,1536894735,81,-13.19,49.05,63.1,5.06
313,santa cruz,20,US,1536893220,72,36.97,-122.03,64.42,6.93
314,honiara,40,SB,1536890400,59,-9.43,159.96,91.4,16.11
315,muhos,0,FI,1536893400,93,64.81,26.0,46.4,9.17
316,mustasaari,0,FI,1536893400,93,63.17,21.67,46.4,8.05
317,letlhakeng,0,BW,1536894738,53,-24.1,25.03,46.63,2.93
318,avera,1,US,1536892500,79,33.19,-82.53,79.56,3.36
319,yima,56,CN,1536894739,74,34.75,111.87,69.67,3.83
320,tommot,92,RU,1536894739,89,58.97,126.27,43.93,3.27
321,la libertad,0,PE,1536890400,27,-16.38,-71.56,51.8,2.93
322,manta,0,RO,1536894740,91,45.1,24.1,52.66,2.37
323,waingapu,0,ID,1536894740,46,-9.65,120.26,86.41,5.5
324,taitung,75,TW,1536893400,62,22.76,121.15,86.0,14.99
325,port-cartier,5,CA,1536890400,87,50.03,-66.88,55.4,9.64
326,seybaplaya,90,MX,1536889260,100,19.65,-90.67,75.2,11.41
327,port hawkesbury,1,CA,1536890400,100,45.62,-61.36,50.0,4.7
328,porteirinha,8,BR,1536894742,64,-15.74,-43.03,69.22,11.77
329,aksu,0,KZ,1536892200,62,52.04,76.93,53.6,8.95
330,itarema,0,BR,1536894742,80,-2.92,-39.92,76.06,15.35
331,grand gaube,20,MU,1536890400,77,-20.01,57.66,69.8,4.7
332,la rioja,92,AR,1536894521,100,-29.41,-66.86,56.53,0.69
333,strezhevoy,75,RU,1536892200,100,60.73,77.6,50.0,13.42
334,requena,0,ES,1536894000,88,39.49,-1.1,71.6,2.24
335,katsuura,75,JP,1536894000,88,33.93,134.5,75.2,6.93
336,leshukonskoye,76,RU,1536894744,97,64.9,45.76,50.41,7.07
337,aykhal,0,RU,1536894744,69,65.95,111.51,41.59,4.38
338,dawei,92,MM,1536894744,100,14.07,98.19,71.65,1.92
339,husavik,44,CA,1536894745,96,50.56,-96.99,57.43,9.31
340,boysun,8,UZ,1536894745,72,38.2,67.2,48.79,1.7
341,murmashi,75,RU,1536892200,93,68.82,32.82,46.4,2.24
342,clyde river,90,CA,1536890400,100,70.47,-68.59,33.8,3.36
343,geraldton,40,CA,1536890400,77,49.72,-86.95,62.6,10.29
344,madhogarh,0,IN,1536894746,76,28.31,76.03,81.1,11.1
345,inhambane,0,MZ,1536894746,100,-23.87,35.38,66.79,10.76
346,meulaboh,36,ID,1536894746,100,4.14,96.13,81.28,0.69
347,sinjar,0,SY,1536894747,92,35.59,37.0,67.24,9.42
348,la palma,44,CO,1536894747,100,5.36,-74.39,65.44,1.14
349,wattegama,24,LK,1536894748,75,7.35,80.68,77.77,5.17
350,berlevag,75,NO,1536893400,81,70.86,29.09,50.0,9.17
351,ilulissat,12,GL,1536893400,80,69.22,-51.1,30.2,2.24
352,itamarandiba,88,BR,1536894750,85,-17.86,-42.86,62.38,7.52
353,kaeo,12,NZ,1536894750,62,-35.1,173.78,62.11,8.19
354,barquisimeto,76,VE,1536894622,99,10.07,-69.32,67.06,2.71
355,port lincoln,0,AU,1536894750,76,-34.72,135.86,65.08,16.02
356,port hardy,75,CA,1536894000,82,50.7,-127.42,55.4,3.36
357,neuquen,0,AR,1536890400,66,-38.95,-68.06,48.2,4.83
358,rawson,0,AR,1536894751,40,-43.3,-65.11,46.18,6.73
359,mala,12,PE,1536894751,100,-12.66,-76.63,59.23,8.41
360,hambantota,56,LK,1536894752,95,6.12,81.12,81.73,9.42
361,hovd,75,NO,1536893400,93,63.83,10.7,47.41,10.29
362,nanyuki,36,KE,1536894752,98,0.01,37.07,45.37,3.15
363,izumo,75,JP,1536890400,78,35.37,132.75,77.0,9.17
364,mildura,0,AU,1536894753,42,-34.18,142.16,73.63,15.79
365,fukue,75,JP,1536892980,73,35.03,136.69,72.66,3.36
366,boa vista,40,BR,1536894000,83,2.82,-60.67,78.8,2.24
367,san quintin,75,PH,1536894000,83,17.54,120.52,84.2,6.93
368,dibrugarh,75,IN,1536894000,94,27.48,94.9,78.8,5.82
369,biltine,92,TD,1536894756,67,14.53,20.93,74.98,8.75
370,san andres,100,PH,1536894756,100,13.32,122.68,81.82,16.69
371,srandakan,92,ID,1536894756,77,-7.94,110.25,75.61,4.61
372,cartagena,64,ES,1536894000,88,37.63,-1.0,73.4,4.7
373,cabadiangan,90,PH,1536894000,78,10.45,123.98,82.4,19.46
374,kushiro,75,JP,1536890400,83,43.11,144.15,69.8,8.05
375,watertown,1,US,1536893580,90,44.9,-97.12,74.84,11.41
376,namibe,88,AO,1536894758,100,-15.19,12.15,64.54,2.59
377,gulu,0,UG,1536894511,97,2.77,32.3,60.31,3.04
378,dakoro,0,NE,1536894759,93,14.51,6.76,70.21,7.74
379,dunedin,0,NZ,1536894759,68,-45.87,170.5,60.67,2.59
380,dali,64,CN,1536894759,83,25.6,100.24,67.69,1.36
381,hearst,0,CA,1536894760,54,49.69,-83.67,67.96,7.63
382,ben tre,100,VN,1536894760,100,10.24,106.37,75.79,8.41
383,sangar,0,RU,1536894760,52,63.92,127.47,50.23,3.04
384,hella,56,IS,1536894760,99,63.84,-20.4,44.83,11.43
385,tikhvin,44,RU,1536894761,71,59.64,33.53,50.41,5.39
386,haines junction,80,CA,1536894761,70,60.75,-137.51,43.39,2.71
387,lamu,12,ID,1536894761,66,0.57,122.3,84.07,6.06
388,klaksvik,80,FO,1536893400,93,62.23,-6.59,42.8,1.12
389,chuy,64,UY,1536894762,97,-33.69,-53.46,57.88,9.64
390,dikson,92,RU,1536894762,100,73.51,80.55,38.26,22.17
391,flinders,0,AU,1536890400,40,-34.58,150.85,73.4,9.17
392,wiarton,20,CA,1536890400,93,44.74,-81.13,64.4,8.05
393,nadadores,40,MX,1536889200,69,27.03,-101.59,78.8,9.17
394,mount gambier,12,AU,1536894763,54,-37.83,140.78,67.6,10.98
395,hokitika,0,NZ,1536894764,90,-42.72,170.96,55.18,6.96
396,ulaanbaatar,20,MN,1536894000,48,47.92,106.92,39.2,13.42
397,breyten,0,ZA,1536894764,32,-26.3,29.99,34.48,3.49
398,chongwe,0,ZM,1536894764,57,-15.33,28.68,55.54,3.94
399,wuan,80,CN,1536894765,78,31.68,112.0,75.16,6.51
400,tiarei,40,PF,1536892200,65,-17.53,-149.33,82.4,13.87
401,high rock,0,BS,1536894765,100,26.63,-78.28,83.62,5.95
402,tres coracoes,80,BR,1536894766,87,-21.7,-45.25,60.31,3.71
403,yulara,0,AU,1536890400,8,-25.24,130.99,87.8,14.99
404,polis,75,CY,1536894000,73,35.04,32.42,71.6,5.82
405,basco,1,US,1536892500,83,40.33,-91.2,70.25,8.75
406,pindiga,88,NG,1536894767,95,9.98,10.93,70.03,6.85
407,cherskiy,48,RU,1536894767,62,68.75,161.3,43.93,2.93
408,atbasar,0,KZ,1536894768,54,51.81,68.36,54.01,18.92
409,bled,20,SI,1536894000,93,46.37,14.11,59.07,1.12
410,broome,0,GB,1536893940,76,52.47,1.45,53.53,5.82
411,north bend,90,US,1536893760,96,43.41,-124.22,54.79,1.92
412,caravelas,8,BR,1536894769,100,-17.73,-39.27,73.63,13.22
413,bonnyville,75,CA,1536894000,86,54.27,-110.74,33.8,5.82
414,saint-georges,0,CA,1536894769,87,46.12,-70.67,54.82,2.26
415,taoudenni,8,ML,1536894770,36,22.68,-3.98,77.14,9.42
416,awjilah,0,LY,1536894770,53,29.14,21.3,68.59,8.41
417,la romana,20,DO,1536890400,100,18.43,-68.97,81.0,4.7
418,tocopilla,64,CL,1536894771,100,-22.09,-70.2,53.11,2.37
419,karatau,0,KZ,1536894771,34,43.18,70.46,48.61,6.4
420,buala,92,SB,1536894771,100,-8.15,159.59,79.03,11.77
421,opelousas,1,US,1536893040,87,30.53,-92.08,77.07,8.05
422,yeppoon,0,AU,1536892200,37,-23.13,150.74,82.4,6.93
423,turan,0,RU,1536894772,54,52.15,93.92,40.87,2.93
424,maumere,0,ID,1536894772,95,-8.63,122.22,83.17,1.03
425,dalvik,68,SE,1536893400,93,57.79,14.13,50.0,12.75
426,hayden,40,US,1536893880,37,47.77,-116.79,56.05,8.05
427,santa ana,0,SV,1536889800,94,13.99,-89.56,73.4,2.24
428,karla,40,EE,1536893400,93,59.37,24.93,51.8,9.17
429,sibu,75,MY,1536890400,79,2.29,111.83,84.2,4.7
430,san patricio,92,PY,1536894774,99,-26.98,-56.83,63.82,5.06
431,sao paulo de olivenca,32,BR,1536894771,94,-3.38,-68.87,76.78,2.15
432,quthing,0,LS,1536894775,57,-30.4,27.7,32.5,4.38
433,varhaug,75,NO,1536893400,87,58.61,5.65,51.8,18.34
434,tevaitoa,92,PF,1536894776,99,-16.78,-151.5,79.84,10.31
435,acari,0,BR,1536894776,62,-6.44,-36.64,67.87,13.67
436,rio grande,68,BR,1536894776,92,-32.03,-52.1,61.48,6.73
437,santo antonio do ica,44,BR,1536894776,94,-3.1,-67.94,76.06,1.92
438,scottsbluff,1,US,1536893580,45,41.87,-103.67,70.88,10.29
439,kosonsoy,48,UZ,1536892200,48,41.25,71.55,60.8,2.24
440,lompoc,1,US,1536892500,63,34.64,-120.46,61.21,11.41
441,coahuayana,80,MX,1536894777,87,18.62,-100.35,68.59,3.38
442,sung noen,90,TH,1536894000,100,14.9,101.82,78.8,2.24
443,sorland,75,NO,1536893400,93,67.67,12.69,46.4,2.24
444,zhigalovo,88,RU,1536894778,86,54.81,105.15,38.08,6.06
445,tura,92,IN,1536894779,97,25.52,90.21,77.05,3.15
446,puerto madryn,0,AR,1536894779,75,-42.77,-65.04,51.13,12.44
447,lasa,75,CY,1536894000,73,34.92,32.53,71.6,5.82
448,athabasca,36,CA,1536894779,83,54.72,-113.29,28.72,2.93
449,luwingu,12,ZM,1536894780,50,-10.26,29.92,60.04,7.74
450,dongsheng,20,CN,1536894780,74,29.72,112.52,85.42,6.62
451,bowen,0,AU,1536890400,44,-20.01,148.25,78.8,16.11
452,kaihua,20,CN,1536894781,80,29.14,118.41,82.81,3.38
453,riohacha,44,CO,1536894781,100,11.54,-72.91,78.49,3.15
454,impfondo,88,CD,1536894781,96,1.62,18.06,70.93,1.59
455,nizhniy odes,100,RU,1536894781,98,63.64,54.86,47.98,5.84
456,baykit,68,RU,1536894782,83,61.68,96.39,35.56,3.38
457,greeneville,1,US,1536893700,90,36.16,-82.83,70.86,2.71
458,nuuk,88,GL,1536893400,93,64.17,-51.74,37.4,8.05
459,teahupoo,40,PF,1536892200,65,-17.83,-149.27,82.4,13.87
460,rio gallegos,0,AR,1536890400,65,-51.62,-69.22,46.4,14.99
461,vershino-darasunskiy,92,RU,1536894783,100,52.35,115.52,43.21,9.64
462,vangaindrano,76,MG,1536894783,100,-23.35,47.6,63.64,2.71
463,murshidabad,92,IN,1536894784,97,24.17,88.27,83.62,4.5
464,chengde,36,CN,1536894784,84,40.97,117.93,71.47,3.71
465,los llanos de aridane,0,ES,1536894000,73,28.66,-17.92,75.2,6.93
466,newport,90,GB,1536893400,100,51.59,-3.0,53.06,5.82
467,mulege,0,MX,1536894785,57,26.88,-111.98,83.08,0.69
468,atherton,48,GB,1536893400,87,53.52,-2.49,54.19,6.93
469,los lunas,1,US,1536893700,22,34.81,-106.76,76.19,5.82
470,namie,75,JP,1536894000,78,37.52,140.86,75.2,5.82
471,naze,40,NG,1536890400,94,5.43,7.07,73.4,3.71
472,dese,90,IT,1536893700,94,45.53,12.3,68.0,5.82
473,santa rosa,0,AR,1536894788,56,-36.62,-64.29,55.45,9.75
474,usatove,0,UA,1536894000,82,46.54,30.65,64.4,8.95
475,jumla,88,NP,1536894789,97,29.28,82.18,40.42,2.15
476,kahului,75,US,1536892260,78,20.89,-156.47,78.96,12.75
477,suwalki,68,PL,1536894789,88,54.11,22.93,54.01,3.94
478,misratah,0,LY,1536894790,100,32.38,15.09,72.91,3.6
479,faya,0,SA,1536890400,45,18.39,42.45,64.4,1.59
480,vila franca do campo,20,PT,1536894000,83,37.72,-25.43,69.8,8.05
481,manoel urbano,12,BR,1536894790,76,-8.84,-69.26,80.11,3.04
482,comodoro rivadavia,0,AR,1536890400,41,-45.87,-67.48,60.8,29.97
483,linhares,64,BR,1536894791,83,-19.38,-40.06,64.45,3.6
484,vostok,76,RU,1536894791,94,46.45,135.83,58.6,3.6
485,nara,75,JP,1536894000,65,34.68,135.8,79.25,12.75
486,damghan,0,IR,1536894792,85,36.17,54.34,55.36,2.71
487,tuy hoa,64,VN,1536894792,94,13.08,109.3,81.73,6.29
488,chapais,1,CA,1536890400,88,49.78,-74.86,62.6,5.82
489,rampur,68,IN,1536894793,100,28.8,79.03,75.97,4.61
490,faanui,20,PF,1536894793,100,-16.48,-151.75,80.2,11.43
491,punganuru,20,IN,1536894793,89,13.36,78.57,74.89,4.38
492,ariquemes,32,BR,1536894794,76,-9.91,-63.03,78.04,2.04
493,marinette,1,US,1536893760,83,45.1,-87.63,63.73,5.82
494,hualmay,20,PE,1536894794,91,-11.1,-77.61,55.27,5.17
495,yar-sale,92,RU,1536894794,100,66.83,70.83,48.61,11.43
496,pondicherry,75,ZA,1536890400,87,-34.04,18.35,55.4,13.87
497,anadyr,68,RU,1536894795,100,64.73,177.51,53.56,25.86
498,xichang,92,CN,1536894795,98,27.88,102.25,58.69,1.92
499,yatou,75,CM,1536890400,100,3.63,9.81,75.2,3.36
500,okato,44,NZ,1536894796,94,-39.19,173.88,57.61,11.43
501,bilma,0,NE,1536894796,41,18.69,12.92,68.23,3.27
502,pleshanovo,64,RU,1536890400,93,57.46,28.17,41.0,2.24
503,laguna,5,MX,1536889200,55,27.52,-110.01,89.6,5.82
504,sayyan,0,YE,1536894797,57,15.17,44.32,51.76,2.93
505,kavaratti,44,IN,1536894797,100,10.57,72.64,81.46,3.94
506,havelock,90,US,1536893640,94,34.88,-76.9,75.2,47.2
507,romny,76,UA,1536894798,88,50.74,33.49,57.43,2.71
508,ocos,75,GT,1536889680,88,14.51,-92.19,78.8,6.62
509,gardez,0,AF,1536894798,46,33.6,69.22,47.98,2.59
510,yarensk,92,RU,1536894799,96,62.17,49.09,51.13,9.75
511,necochea,0,AR,1536894535,95,-38.55,-58.74,46.27,8.19
512,palauig,88,PH,1536894799,100,15.44,119.9,78.76,6.96
513,kota belud,75,MY,1536892200,70,6.35,116.43,86.0,11.41
514,vao,56,EE,1536894800,83,59.1,26.19,52.03,7.96
515,onega,88,RU,1536894800,100,63.91,38.09,53.11,13.78
516,mangai,0,CD,1536894800,90,-4.07,19.59,70.57,1.92
517,dondo,20,MZ,1536890400,82,-19.62,34.74,68.0,8.05
518,abbeville,90,FR,1536894000,100,50.11,1.83,49.06,2.93
519,arawa,88,NG,1536894801,98,7.05,3.9,73.81,3.15
520,jieshi,24,CN,1536894801,88,22.82,115.83,84.25,10.54
521,filingue,44,NE,1536894802,71,14.35,3.32,78.58,10.76
522,buriti alegre,88,BR,1536894802,46,-18.14,-49.04,72.46,5.28
523,oktyabrskoye,80,RU,1536894802,76,56.73,85.44,52.84,10.76
524,missungwi,0,TZ,1536894802,88,-2.85,33.08,63.73,3.94
525,shenjiamen,8,CN,1536894803,97,29.96,122.3,80.92,4.72
526,ushtobe,0,KZ,1536894803,32,45.25,77.98,53.29,4.83
527,teacapan,92,MX,1536894803,87,22.54,-105.74,78.31,1.92
528,devils lake,1,US,1536893760,92,48.11,-98.87,50.49,8.05
529,serov,92,RU,1536894804,70,59.61,60.57,52.57,11.65
530,lebyazhye,0,RU,1536892200,93,59.96,29.42,48.2,6.71
531,puerto suarez,36,BO,1536894804,76,-18.96,-57.8,73.72,2.37
532,montepuez,8,MZ,1536894805,97,-13.13,39.0,61.21,3.6
533,andrews,1,US,1536893700,66,32.32,-102.55,76.42,9.17
534,calabozo,8,VE,1536894805,82,8.92,-67.43,79.21,4.83
535,oiba,56,CO,1536894805,97,6.26,-73.3,54.46,0.92
536,deputatskiy,0,RU,1536894806,63,69.3,139.9,42.13,7.96
537,ballina,92,IE,1536894806,100,54.11,-9.15,52.39,12.44
538,aksarka,92,RU,1536894806,100,66.56,67.8,45.37,10.76
539,fort nelson,75,CA,1536894000,69,58.81,-122.69,37.4,2.24
540,merauke,100,ID,1536894807,69,-8.49,140.4,85.51,17.25
541,sussex,5,CA,1536894000,100,45.72,-65.51,51.8,2.37
542,khandyga,24,RU,1536894808,72,62.65,135.58,49.78,3.38
543,teguldet,92,RU,1536894808,97,57.31,88.17,48.61,10.54
544,camacha,40,PT,1536894000,83,33.08,-16.33,70.81,6.93
545,namatanai,88,PG,1536894809,100,-3.66,152.44,82.18,2.82
546,ginir,0,ET,1536894809,68,7.14,40.71,62.74,6.73
547,gamba,68,CN,1536894809,74,28.28,88.52,34.66,3.38
548,ziro,90,IN,1536894000,100,27.54,93.82,75.2,5.82
549,guaruja,90,BR,1536893160,87,-23.99,-46.26,62.13,8.05
550,altay,0,CN,1536894810,50,47.83,88.13,37.63,2.82
551,ngunguru,44,NZ,1536894810,97,-35.62,174.5,59.5,9.98
552,gornopravdinsk,92,RU,1536894811,97,60.06,69.92,49.69,17.02
553,soyaniquilpan,92,MX,1536894811,100,19.98,-99.5,53.11,1.92
554,hammerfest,75,NO,1536893400,93,70.66,23.68,46.4,2.24
555,walvis bay,0,NA,1536894812,100,-22.95,14.51,55.18,8.52
556,otavi,0,NA,1536894812,40,-19.64,17.34,47.71,3.94
557,bosaso,76,SO,1536894813,96,11.28,49.18,85.78,1.7
558,iranshahr,0,IR,1536890400,14,27.21,60.69,82.4,6.93
559,tavricheskoye,0,RU,1536892200,47,54.59,73.64,55.4,17.9
560,tamandare,68,BR,1536894814,54,-8.28,-70.75,85.24,4.5
